name;country;points;gender
Maki_Shiomi;JPN;7968;female
Jia_Liu;AUT;7812;female
Yingsha_Sun;CHN;7785;female
Bernadette-Cynthia_Szöcs;ROU;7780;female
Dina_Meshref;EGY;7717;female
Miyu_Maeda;JPN;7047;female
Hsien-Tzu_Cheng_Chinese;TAI;6963;female
Viktoria_Pavlovich;BLR;6625;female
Suthasini_Sawettabut;THA;6410;female
Meng_Yu_Yu;SIN;6335;female
Song_Kim_I;CNO;6306;female
Natalia_Partyka;POL;6159;female
Xialian_Ni;LUX;6071;female
Paulina_Vega;CHI;6069;female
Minami_Ando;JPN;5739;female
Ke_Chen;CHN;5718;female
Mouma_Das;IND;5656;female
Sarah_De_Nutte;LUX;5610;female
Manika_Batra;IND;5610;female
Petrissa_Solja;ALL;5600;female
Sabine_Winter;ALL;5532;female
Jian_Fang_Lay;AUS;5263;female
Szandra_Pergel;HON;5130;female
Nina_Mittelham;ALL;5007;female
Ganna_Gaponova;UKR;4975;female
Melek_Hu;TUR;4898;female
Misaki_Morizono;JPN;4740;female
Britt_Eerland;4732;female
Yihan_Zhou;SIN;4458;female
Nanthana_Komwong;THA;4450;female
Giorgia_Piccolin;ITA;4443;female
Yi-Ju_Wang_Chinese;TAI;4424;female
Kyoka_Kato;JPN;4413;female
Madhurika_Patkar;IND;4381;female
Adina_Diaconu;ROU;4362;female
Rachel_Moret;SUI;4336;female
Jieni_Shao;POR;4325;female
Dora_Madarasz;HON;4285;female
Ye_Lin;SIN;4266;female
Daniela_Monteiro_Dodean;ROU;4265;female
Daria_Trigolos;BLR;4137;female
Marina_Matsuzawa;JPN;4131;female
Miyuu_Kihara;JPN;4097;female
Maria_Xiao;ESP;4079;female
Caroline_Kumahara;BRE;4055;female
Mateja_Jeger;CRO;4049;female
Bruna_Takahashi;BRE;4047;female
Katarzyna_Grzybowska;POL;4007;female
Hsing-Yin_Liu_Chinese;TAI;3931;female
Debora_Vivarelli;ITA;3908;female
Mi_Gyong_Ri;CNO;3823;female
Paula_Medina;COL;3800;female
Asuka_Sasao;JPN;3780;female
Solomiya_Brateyko;UKR;3740;female
Mizuki_Morizono;JPN;3726;female
Yu-Hsin_Liu_Chinese;TAI;3700;female
Yu-Wen_Huang_Chinese;TAI;3648;female
Rui_Zhang;CHN;3546;female
Chia-Hsuan_Lin_Chinese;TAI;3525;female
Ayhika_Mukherjee;IND;3511;female
Tamolwan_Khetkhuan;THA;3442;female
Audrey_Zarif;FRA;3437;female
Lin_Gui;BRE;3420;female
Yang_Wu;CHN;3398;female
Yi-Hua_Huang_Chinese;TAI;3366;female
Yousra_Helmy;EGY;3349;female
Stéphanie_Loeuillette;FRA;3302;female
Sibel_Altinkaya;TUR;3266;female
Olufunke_Oshonaike;NGR;3210;female
Alex_Galic;SLO;3180;female
Tetyana_Bilenko;UKR;3150;female
Qiang_Zhang;CHN;3129;female
Ruochen_Gu;CHN;3129;female
Ana_Codina;ARG;3120;female
Miyu_Nagasaki;JPN;3051;female
Galia_Dvorak;ESP;3040;female
Ruta_Paskauskiene;LTU;3030;female
Charlotte_Carey;GAL;2992;female
Linda_Bergstrom;SUE;2976;female
Laura_Gasnier;FRA;2928;female
Chia-Chih_Lin_Chinese;TAI;2868;female
Daniela_Ortega;CHI;2799;female
Yidi_Wang;CHN;2793;female
Barbora_Balazova;SVK;2779;female
Rahel_Aschwanden;SUI;2764;female
Tin-Tin_Ho;ANG;2757;female
Farah_Abdel-Aziz;EGY;2753;female
Xiaodan_Li;CHN;2736;female
Andrea_Todorovic;SRB;2730;female
Yadira_Silva;MEX;2675;female
Yuan_Wan;ALL;2670;female
Orawan_Paranang;THA;2660;female
Hoang_My_Trang_Mai;VIE;2620;female
Aikaterini_Toliou;GRE;2570;female
Lisa_Lung;BEL;2536;female
Krisztina_Ambrus;HON;2532;female
Anna_Kirichenko;FIN;2479;female
Alina_Arlouskaya;BLR;2469;female
Neda_Shahsavari;IRA;2468;female

